category	AppId	C-tags (can be empty)
A	com.telenav.doudouyou.android.autonavi-205	
B	com.malib.dhbtcepte-399	
A	com.winit.starnews.hin-81	
A	com.youba.ringtones-450	
A	com.manevikardeslik.kuran-484	
A	com.joynow.ecodrivefree-169	
A	droidconsulting.livewallpaper19free-369	
A	uberall.android.appointmentmanager-20	
B	com.xy.mobile.shaketoflashlight-52	
A	com.vaxini.free-36	
B	com.Android56-123	
C	myprograms.application.thermometer-376	Manifest XML
A	com.blackdevelopers.babypiano-285	
A	com.guosen.android-14	
C	net.orizinal.subway-305	OS Update
A	org.ovh.SpaceSTG3-60	
A	chk.chk.partyplay-95	
C	com.yuanyu.tinber-119	OS Update
A	com.strlabs.appdietas-140	
A	com.androidapps.bodymassindex-148	
C	me.zuiq.android.app27-176	Asset
B	mynet.games.sound.jianshen-473	
A	com.navyfederal.android-121	
A	de2dev4u.android.birthday-164	
A	nl.marktplaats.android-134	
A	cn.net.inch.android-237	
A	therau2000.amcamobiusac-429	
A	com.eonsoft.Magnifier-479	
A	com.wearablelab.fitnessmate-372	
A	club.fromfactory-114	
A	com.tappsi.passenger.android-3	
A	finance.Calculator.AD.MD-104	
A	com.manle.phone.android.tangniaobing-259	
A	com.shyl.trace-124	
A	org.vv.bus-135	
B	jp.co.johospace.jorte-258	
B	com.taweb.siac-62	
A	com.fuzzdota.dota2matchticker.listwidget-187	
A	com.divi.volumebooster-310	
A	cc.leet.free-269	
A	com.xisue.zhoumo-236	
A	com.SkyDivers.petals3d-303	
B	com.ftbpro.app-240	
A	ect.emessager.esms-281	
A	com.softwego.universaldetector-70	
A	com.gurkhatech.schoolmanagement-353	
A	com.manzy.bellaftervib-428	
A	com.georgekurniawan.radiorohaniindonesia-125	
A	com.san.guesstheemoji-436	
A	com.bailleul.mike.go.toulouse.ads-69	
A	hm.songster-482	
A	com.app.liveweatherlite-321	
A	mobi.infolife.ezweather.widget.card-392	
B	com.handyapps.expenseiq-21	
A	br.com.ctncardoso.ctncar-422	
A	com.xnview.XnRetro-262	
A	com.khipu.android-412	
A	jp.harucolor3.kanmusububblewallpaper-349	
A	com.funrary.androids.backgroundremover-391	
A	com.javaexp.shareapk-480	
A	kr.sira.ruler-56	
A	com.hairstyle-178	
A	com.netease.newsreader.activity-481	
A	me.dsa.echopoint-170	
A	com.fishmy.android-494	
B	com.azeus.anywherepad-110	
B	com.smallapp.BlowApp-71	
A	ar.com.grupoesfera.futbolfan-194	
A	com.tresebrothers.games.cyberknights-168	
A	kr.co.psynet-293	
B	com.chimani.parks.free-247	
A	com.blogspot.MyAndroidApps4u.uk_lotto-273	
C	com.melero.music-159	OS Update
B	org.vv.brainTwister-352	
A	droidconsulting.livewallpaper11free-385	
A	netgenius.bizcal-188	
A	com.appsfabrica.naturepack-246	
C	telecom.mdesk-5	OS Update
A	com.mhsoft.sintongbangtong-200	
A	tkstudio.wachatbotlite-368	
A	it.drd.uuultimatemyplace-379	
B	mynet.games.sound.fenbei-27	
A	com.cenker.yardimci.app-308	
A	com.meshref.pregnancy-265	
A	com.kosherdev.koshergator-53	
A	com.oilpricetool-284	
A	com.blizzardscale.befemall-102	
A	com.bestringtonesapps.sleepsounds-397	
A	com.arkay.gkingujarati-301	
A	com.igg.pokerdeluxe-79	
A	nz.co.kiwibank.mobile-410	
A	com.lifecake.android-10	
A	com.inauinterpopo-318	
B	zfapps.toyobd1-341	
A	com.necta.aircall_accept.free-253	
A	com.inisoft.mediaplayer.a-350	
A	rwx.profile-468	
B	jp.co.excite.netamanma_yoga-345	
C	com.lenovo.leos.cloud.sync-388	OS Update
A	com.codiwans.cinesa-28	
A	com.efinite.pnrstatus-163	
A	mobi.infolife.ezweather.widget.sunnyafternoon-337	
A	info.thereisonlywe.salahaware-126	
A	com.everydaycalculation.tvmfinancialcalculator-413	
A	com.wlanplus.chang-354	
A	com.poterion.logbook-400	
C	com.koushikdutta.backup-313	OS Update
A	com.fxsolutions.fxess.android-306	
C	com.scalisoft.spacedraw-490	Hardware
B	com.apps.salad.bengali.recipe-229	
A	com.aizheke.aizheked-233	
A	com.bigapps.mpcvol5-440	
A	cn.mzyou.mzgame-275	
A	com.yamlearning.geographylearning-211	
A	com.jb.gokeyboard.theme.BestThemes.electriccolor-85	
A	droidconsulting.livewallpaper9free-29	
A	com.gsapp.wifitransport-492	
A	com.akmact.voice.changer.girl.boy-455	
A	circle.news.bd-405	
A	com.news360.news360app-472	
A	com.dencreak.esmemo-58	
C	com.iasku.iaskujuniorchemistry-396	Manifest XML
A	com.corusen.accupedo.te-11	
A	com.everydaycalculation.androidapp_free-298	
A	com.ncsoft.android.buff-402	
A	in.betterbutter.android-441	
A	com.trapster.android-203	
A	com.hukuhuku.area-207	
A	com.eortes2-449	
A	com.framy.moment-355	
A	com.imcompany.school2-43	
C	com.esthar.d3.sserver-381	Hardware
A	com.xnview.XnSketch-311	
A	com.bestringtonesapps.funnyalarmringtones-279	
A	com.ophone.reader.ui-362	
A	com.exampl.allelectronicradiodance-66	
A	org.sensortracker.sensor_zh-487	
C	mobi.infolife.ezweather.widget.armedheroes-384	Asset
A	com.dumplingsandwich.focuseffect-320	
A	s.hd_live_wallpaper.birthday_greeting_cards_maker-291	
A	com.cracked.android.lite-483	
A	com.bluecorner.totalgym-499	
A	ru.motivaciaplus.motiv.primer.app-438	
A	com.rami.puissance4-175	
A	com.alarmclock.xtreme-143	
A	com.class123.teacher-330	
A	com.world.newspapers-157	
B	ru.hudeem.adg-312	
A	appvpn.vpn-325	
A	com.manle.phone.android.baby-409	
C	com.rormix-94	Resource XML
A	com.fractalemagic-107	
C	com.ciberdroix.ghostsandspirits-406	Hardware
B	com.openapp.gearfitphone-389	
A	com.fsinib.batterymonitor-274	
A	com.dietcoacher.sos-15	
A	com.piclens.fotos365-338	
A	vcam.dk.QuotidianiItaliani-92	
A	fr.meilleurlogiciel.culturegenerale-460	
A	org.youhu.baishitong-346	
A	hk.gogovan.GoGoVanClient2-180	
A	com.heuser.helidroid_full-420	
A	com.colorsplashphoto.android-377	
A	com.interpark.app-186	
A	com.appfab.jokes.quotes-68	
C	com.jawfin.sol3d-307	Manifest XML
A	com.outthinking.photo-197	
A	com.controlpointllp.bluebox-244	
A	biz.mtoy.phitdroid.seventh-264	
A	com.keerby.videotomp3-448	
A	com.jaemokhakwon.jaemokhakwon-459	
A	com.instacollage.android-336	
A	com.rayg.soundfx-474	
C	com.gallery.cloud.sync-213	OS Update
C	com.futurecomes.android.alter-404	Hardware
B	com.streema.podcast-22	
A	com.interpark.shop-122	
B	com.dong.profile-7	
A	org.vv.baby.cognize.thomas-220	
A	com.qrpopo-488	
A	com.game.anak.indonesia.cerdas.cermat-382	
A	kb2.soft.carexpenses-1	
B	com.calendar.example-109	
A	com.guangjun.brainteaser-333	
A	com.a0soft.gphone.aDataOnOff-67	
A	com.harteg.crookcatcher-54	
A	com.ninesky.browser-76	
A	com.net263.secondarynum.activity-231	
B	com.divination1518-278	
B	com.mdk.smartalarm-375	
B	llc.auroraappdesign.votd-370	
A	com.springpad-42	
A	nl.robertloeberdevelopment-210	
A	com.apps.calendar-40	
A	com.tgtap.gtacheats-44	
A	com.MSoft.cloudradio-100	
A	xiaoyu.fruit.sric.android-366	
A	com.harjuconsulting.android.weather-137	
B	br.com.msapp.mycurriculumvitae.free-177	
B	com.justnote-78	
A	com.cricbuzz.android-248	
A	com.eonsoft.Converter-152	
A	elsayed.mohamed.com.steelyard-113	
A	com.zentertain.photoeditor-185	
A	com.cga.flexconnector-156	
C	com.rjfittime.app-106	OS Update
A	net.dotpicko.dotpict-427	
A	net.huaerzhong.brainteaser-434	
A	com.rayg.loudringtones-425	
A	com.javaexp.discolight-414	
A	se.nansen.coop-463	
A	hu.psicore.mfportable-290	
A	kr.mcpe.mods2-77	
A	com.shyl.train-432	
A	jp.andosan.futabaviewer-218	
A	com.rebelnow.fingerboard-317	
C	com.ss.zhendong2-347	Manifest XML
A	com.outthinking.textonpic-365	
C	ch.btcfx-329	OS Update
A	com.funbox.englishidioms-75	
C	cnace.net-280	OS Update
A	ru.allyteam.gramoteifree-332	
A	com.found.found-423	
A	info.goro3goro.japanese-174	
A	com.nvidia.tegrazone-295	
A	net.xfok.tool.tm-316	
A	com.micabyte.android.pirates-61	
A	com.lenovocw.music-356	
A	com.tamco.cats-238	
A	com.mycloudplayers.mycloudplayer-87	
B	com.microcell.MyHouse-398	
A	com.picframefx.android-268	
A	com.sketchlab.livehomeshopping-452	
A	yudo.work.saitosan-486	
B	org.voicenightlight.v3-471	
A	mobi.infolife.ezweather.widget.nori-224	
A	com.turkusoz-357	
B	mynet.games.sound.test-165	
A	com.bestappsmarket.android.bestapps-424	
A	com.stoik.mdscanlite-489	
A	com.huluxia.gametools-292	
A	strangefactory.mosquito-226	
A	com.josapps.mosaicapp-252	
B	com.chunshuitang.hackbuteer-103	
B	sk.henrichg.phoneprofilesplus-131	
A	com.vndtech.phrasebookengfr.lite-433	
C	com.tom.music.fm-469	OS Update
A	com.likeapp.game.bubbleshooter-401	
A	com.levelup.beautifulwidgets-105	
A	cn.htbn.launcher-478	
A	kr.co.nsaram-407	
A	droidconsulting.livewallpaper10free-476	
A	com.myloveisyy.doodlebubble-342	
A	org.vinczu.ultimatefishingknots-132	
A	com.manle.phone.android.baby-84	
A	com.myloveisyy.safenote-323	
B	com.shenyuan.militarynews-80	
A	cn.hiyou.activity-256	
A	org.iplatform.android.phone2-31	
A	com.catbag.sonswhatsapp-23	
A	com.cordonbleu.wifipasswordrecovery-35	
A	com.adtube.tube-89	
B	com.smallapp.BlowApp-439	
A	com.douban.event-250	
A	com.bruno.myapps.droidwallet-260	
A	com.enrasoft.camera.ghost.detector-149	
A	com.changemystyle.gentlewakeup-416	
A	be.thomashermine.prochainbus-96	
C	com.xing.android-74	OS Update
C	com.orange.mylivebox.fr-41	Resource XML
A	sina.mobile.tianqitong-458	
A	com.cg.android.birthdaycountdown-393	
A	com.rcpopo-112	
A	com.weightwatchers.mobile-46	
A	com.keangame.popice-228	
A	com.javaexp.alarm-160	
B	com.stupendous.istqbsamplepapersf-91	
A	com.yikao.app-50	
A	mo.in.en.photofolder-166	
A	com.androidapps.widget.weather2-403	
A	com.icechen1.speechjammer-217	
A	com.turkusoz_tablet-287	
A	com.chinatan-146	
A	de.jugendfeuerwehrsteinhagen.app-363	
A	com.hope.flashgameplayer-335	
A	com.jrj.christmas-470	
A	com.baidu.searchbox-296	
A	cn.mzyou.mzgame.douniu-255	
A	com.xixun.textimage-276	
A	egovframework.tcpor.mobile.csr-195	
A	org.dangge-272	
A	com.blueskyapps.rugbyworldcup-431	
A	droid.iPlaya-179	
A	com.dridev.kamusku-491	
A	com.tircycle.halfclub-120	
A	com.ahmaeyad.vid.h_sh-117	
A	com.brilliantlabs.solitaire-97	
A	com.myung.snsday-45	
