AppId	signaler	detected_ETS-related_type	ETS-related_type_oracle	correctness_comparison_result
com.telenav.doudouyou.android.autonavi-205	android.os.Parcel.readException	Unknown	Unknown	true
com.malib.dhbtcepte-399	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
com.winit.starnews.hin-81	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.youba.ringtones-450	android.os.Parcel.readException	Unknown	Unknown	true
com.manevikardeslik.kuran-484	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.joynow.ecodrivefree-169	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
droidconsulting.livewallpaper19free-369	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
uberall.android.appointmentmanager-20	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.xy.mobile.shaketoflashlight-52	android.media.AudioRecord.startRecording	Field	Field	true
com.vaxini.free-36	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.Android56-123	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
myprograms.application.thermometer-376	android.os.Parcel.readException	Unknown	Unknown	true
com.blackdevelopers.babypiano-285	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.guosen.android-14	android.os.Parcel.readException	Unknown	Unknown	true
net.orizinal.subway-305	android.app.ContextImpl.validateServiceIntent	Parameter	Parameter	true
org.ovh.SpaceSTG3-60	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
chk.chk.partyplay-95	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.yuanyu.tinber-119	android.app.DownloadManager$Request.setDestinationInExternalPublicDir	Parameter	Parameter	true
com.strlabs.appdietas-140	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.androidapps.bodymassindex-148	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
me.zuiq.android.app27-176	android.graphics.Typeface.createFromAsset	ParaAndField	Parameter	false
mynet.games.sound.jianshen-473	android.media.AudioRecord.startRecording	Field	Field	true
com.navyfederal.android-121	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
de2dev4u.android.birthday-164	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
nl.marktplaats.android-134	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
cn.net.inch.android-237	android.os.Parcel.readException	Unknown	Unknown	true
therau2000.amcamobiusac-429	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.eonsoft.Magnifier-479	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.wearablelab.fitnessmate-372	android.os.Parcel.readException	Unknown	Unknown	true
club.fromfactory-114	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.tappsi.passenger.android-3	android.os.Parcel.readException	Unknown	Unknown	true
finance.Calculator.AD.MD-104	android.content.res.Resources.getText	ParaAndField	ParaAndField	true
com.manle.phone.android.tangniaobing-259	android.content.res.Resources.getText	ParaAndField	ParaAndField	true
com.shyl.trace-124	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
org.vv.bus-135	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
jp.co.johospace.jorte-258	android.app.LoadedApk.forgetReceiverDispatcher	ParaAndField	ParaAndField	true
