version	exception	exceptionType	method	msgWith_sS	msgWithout_sS	msgNotNull	Unknown	Empty	Parameter	Field	ParaAndField	Basic	NotReturn	Empty	ConditionLengthSum	hasBackwardParamCaller	backwardParamCallerNum	hasKeyAPISameClassNum	keyAPISameClassNum	hasKeyAPIDiffClassNum	keyAPIDiffClassNum	hasKeyAPI	keyAPINum	exception
2.3	1643	67	1153	417	921	1338	154	57	768	310	359	1477	21	148	4299	457	2419	614	7416	545	34868	643	42284	1643	
4.4	3622	91	2536	913	1996	2909	260	233	1614	736	784	3221	31	373	8913	947	4846	1411	19142	1177	86925	1482	106067	3622	
5.0	4875	105	3480	1151	2741	3892	355	317	2282	1004	922	4311	35	532	11461	1230	6647	1823	25146	1461	122175	1875	147321	4875	
6.0	5566	113	3810	1397	3203	4600	416	178	2741	1134	1102	5090	34	445	14376	1557	8466	2033	31016	1676	143642	2115	174658	5566	
7.0	7179	124	5106	1551	3411	4962	1040	208	3064	1520	1352	6069	46	1067	17099	1767	9722	2632	77942	2213	184307	2732	262249	7179	
8.0	8203	144	5782	1761	3880	5641	1244	255	3462	1703	1544	6889	47	1270	20026	2018	11946	2984	94870	2555	232579	3100	327449	8203	
9.0	9425	174	6626	1944	4431	6375	1567	335	3842	1927	1759	7731	51	1646	22463	2271	12973	3369	113103	2916	288215	3511	401318	9425	
10.0	10385	176	7415	2071	4846	6917	1867	350	4246	2102	1825	8457	56	1875	23850	2373	13701	3599	124471	3026	344782	3738	469253	10385	
11.0	11632	192	8523	2144	5755	7899	2131	427	4394	2825	1860	9476	71	2088	25947	2469	14673	4367	146118	3157	372483	4496	518601	11632	
12.0	13717	199	9651	2362	7254	9616	2353	474	5655	3274	1966	11351	70	2299	31186	3503	16880	4882	179491	3611	459824	5080	639315	13717	
